FECHA;PARTIDO;LOCAL;VISITA
1;1;0;1
1;2;2;3
1;3;4;5
1;4;6;7
1;5;8;9
1;6;10;11
1;7;12;13
1;8;14;15
2;1;0;2
2;2;1;3
2;3;4;6
2;4;5;7
2;5;8;10
2;6;9;11
2;7;12;14
2;8;13;15
3;1;0;3
3;2;1;2
3;3;4;7
3;4;5;6
3;5;8;11
3;6;9;10
3;7;12;15
3;8;13;14
4;1;0;4
4;2;1;5
4;3;2;6
4;4;3;7
4;5;8;12
4;6;9;13
4;7;10;14
4;8;11;15
5;1;0;5
5;2;1;4
5;3;2;7
5;4;3;6
5;5;8;13
5;6;9;12
5;7;10;15
5;8;11;14
6;1;0;6
6;2;1;7
6;3;2;4
6;4;3;5
6;5;8;14
6;6;9;15
6;7;10;12
6;8;11;13
7;1;0;7
7;2;1;6
7;3;2;5
7;4;3;4
7;5;8;15
7;6;9;14
7;7;10;13
7;8;11;12
8;1;0;8
8;2;1;9
8;3;2;10
8;4;3;11
8;5;4;12
8;6;5;13
8;7;6;14
8;8;7;15
9;1;0;9
9;2;1;8
9;3;2;11
9;4;3;10
9;5;4;13
9;6;5;12
9;7;6;15
9;8;7;14
10;1;0;10
10;2;1;11
10;3;2;8
10;4;3;9
10;5;4;14
10;6;5;15
10;7;6;12
10;8;7;13
11;1;0;10
11;2;1;11
11;3;2;8
11;4;3;9
11;5;4;14
11;6;5;15
11;7;6;12
11;8;7;13
12;1;0;10
12;2;1;11
12;3;2;8
12;4;3;9
12;5;4;14
12;6;5;15
12;7;6;12
12;8;7;13
13;1;0;10
13;2;1;11
13;3;2;8
13;4;3;9
13;5;4;14
13;6;5;15
13;7;6;12
13;8;7;13
14;1;0;10
14;2;1;11
14;3;2;8
14;4;3;9
14;5;4;14
14;6;5;15
14;7;6;12
14;8;7;13
15;1;0;10
15;2;1;11
15;3;2;8
15;4;3;9
15;5;4;14
15;6;5;15
15;7;6;12
15;8;7;13
16;1;1;0
16;2;3;2
16;3;5;4
16;4;7;6
16;5;9;8
16;6;11;10
16;7;13;12
16;8;15;14
17;1;2;0
17;2;3;1
17;3;6;4
17;4;7;5
17;5;10;8
17;6;11;9
17;7;14;12
17;8;15;13
18;1;3;0
18;2;2;1
18;3;7;4
18;4;6;5
18;5;11;8
18;6;10;9
18;7;15;12
18;8;14;13
19;1;4;0
19;2;5;1
19;3;6;2
19;4;7;3
19;5;12;8
19;6;13;9
19;7;14;10
19;8;15;11
20;1;5;0
20;2;4;1
20;3;7;2
20;4;6;3
20;5;13;8
20;6;12;9
20;7;15;10
20;8;14;11
21;1;6;0
21;2;7;1
21;3;4;2
21;4;5;3
21;5;14;8
21;6;15;9
21;7;12;10
21;8;13;11
22;1;7;0
22;2;6;1
22;3;5;2
22;4;4;3
22;5;15;8
22;6;14;9
22;7;13;10
22;8;12;11
23;1;8;0
23;2;9;1
23;3;10;2
23;4;11;3
23;5;12;4
23;6;13;5
23;7;14;6
23;8;15;7
24;1;9;0
24;2;8;1
24;3;11;2
24;4;10;3
24;5;13;4
24;6;12;5
24;7;15;6
24;8;14;7
25;1;10;0
25;2;11;1
25;3;8;2
25;4;9;3
25;5;14;4
25;6;15;5
25;7;12;6
25;8;13;7
26;1;10;0
26;2;11;1
26;3;8;2
26;4;9;3
26;5;14;4
26;6;15;5
26;7;12;6
26;8;13;7
27;1;10;0
27;2;11;1
27;3;8;2
27;4;9;3
27;5;14;4
27;6;15;5
27;7;12;6
27;8;13;7
28;1;10;0
28;2;11;1
28;3;8;2
28;4;9;3
28;5;14;4
28;6;15;5
28;7;12;6
28;8;13;7
29;1;10;0
29;2;11;1
29;3;8;2
29;4;9;3
29;5;14;4
29;6;15;5
29;7;12;6
29;8;13;7
30;1;10;0
30;2;11;1
30;3;8;2
30;4;9;3
30;5;14;4
30;6;15;5
30;7;12;6
30;8;13;7
